,Player,Tm,season17_18
1,Stephen Curry,GSW,34682550
2,LeBron James,CLE,33285709
3,Paul Millsap,DEN,31269231
4,Gordon Hayward,BOS,29727900
5,Blake Griffin,DET,29512900
6,Kyle Lowry,TOR,28703704
7,Russell Westbrook,OKC,28530608
8,Mike Conley,MEM,28530608
9,James Harden,HOU,28299399
10,DeMar DeRozan,TOR,27739975
11,Al Horford,BOS,27734405
12,Carmelo Anthony,OKC,26243760
13,Damian Lillard,POR,26153057
14,Jrue Holiday,NOP,25686667
15,Chris Bosh,MIA,25289390
16,Kevin Durant,GSW,2.5E+07
17,Otto Porter,WAS,24773250
18,Chris Paul,HOU,24599495
19,C.J. McCollum,POR,23962573
20,Bradley Beal,WAS,23775506
21,Anthony Davis,NOP,23775506
22,Andre Drummond,DET,23775506
23,Hassan Whiteside,MIA,23775506
24,Dwight Howard,CHO,23500000
25,Chandler Parsons,MEM,23112004
26,Harrison Barnes,DAL,23112004
27,J.J. Redick,PHI,2.3E+07
28,Marc Gasol,MEM,22642350
29,Kevin Love,CLE,22642350
30,Brook Lopez,LAL,22642350
31,DeAndre Jordan,LAC,22642350
32,Steven Adams,OKC,22471910
33,Giannis Antetokounmpo,MIL,22471910
34,Nicolas Batum,CHO,22434783
35,Rudy Gobert,UTA,21974719
36,LaMarcus Aldridge,SAS,21461010
37,Victor Oladipo,IND,2.1E+07
38,Enes Kanter,NYK,20566802
39,Danilo Gallinari,LAC,20559599
40,Serge Ibaka,TOR,20061729
41,George Hill,CLE,2E+07
42,Ryan Anderson,HOU,19578455
43,Paul George,OKC,19508958
44,Allen Crabbe,BRK,19332500
45,Jimmy Butler,MIN,19301070
46,Jeff Teague,MIN,1.9E+07
47,Kawhi Leonard,SAS,18868625
48,Kyrie Irving,BOS,18868625
49,John Wall,WAS,18063850
50,DeMarcus Cousins,NOP,18063850
51,Greg Monroe,PHO,17884176
52,Wesley Matthews,DAL,17884176
53,Klay Thompson,GSW,17826150
54,Joakim Noah,NYK,17765000
55,Kentavious Caldwell-Pope,LAL,17745894
56,Luol Deng,LAL,17190000
57,Evan Turner,POR,17131148
58,Goran Dragic,MIA,17000450
59,Evan Fournier,ORL,1.7E+07
60,Bismack Biyombo,ORL,1.7E+07
61,Kent Bazemore,ATL,16910113
62,Robert Covington,PHI,16698103
63,Ian Mahinmi,WAS,16661641
64,Tim Hardaway,NYK,16500000
65,Draymond Green,GSW,16400000
66,Tristan Thompson,CLE,16400000
67,Reggie Jackson,DET,1.6E+07
68,Pau Gasol,SAS,1.6E+07
69,Tobias Harris,LAC,1.6E+07
70,Dwyane Wade,CHI,15550000
71,Dennis Schroder,ATL,15500000
72,Jonas Valanciunas,TOR,15460675
73,Tony Parker,SAS,15453126
74,Timofey Mozgov,BRK,15280000
75,Andre Iguodala,GSW,14814815
76,DeMarre Carroll,BRK,14800000
77,Thaddeus Young,IND,14796348
78,Eric Bledsoe,MIL,14500000
79,Ricky Rubio,UTA,14275000
80,Joe Ingles,UTA,14136364
81,Gorgui Dieng,MIN,14112360
82,Khris Middleton,MIL,14100000
83,Mason Plumlee,DEN,14041096
84,Taj Gibson,MIN,1.4E+07
85,James Johnson,MIA,13954000
86,Robin Lopez,CHI,13788500
87,J.R. Smith,CLE,13760000
88,Brandon Knight,PHO,13618750
89,Marvin Williams,CHO,13168750
90,Tyson Chandler,PHO,1.3E+07
91,Michael Kidd-Gilchrist,CHO,1.3E+07
92,Eric Gordon,HOU,12943020
93,Kenneth Faried,DEN,12921348
94,Marcin Gortat,WAS,12782609
95,Cody Zeller,CHO,12584270
96,Miles Plumlee,ATL,12500000
97,Nikola Mirotic,NOP,12500000
98,Zach Randolph,SAC,12307692
99,Nikola Vucevic,ORL,12250000
